16 16.0 280 110
17 16.0 340 110
18 16.0 400 110
19 16.0 460 110
20 16.0 520 110
0 20.0 0 50
5 20.0 100 -10
6 20.0 160 -10
7 20.0 220 -10
8 20.0 280 -10
9 20.0 340 -10
10 20.0 400 -10
11 20.0 460 -10
12 20.0 520 -10
13 20.0 100 110
14 20.0 160 110
15 20.0 220 110
16 20.0 280 110
17 20.0 340 110
18 20.0 400 110
19 20.0 460 110
20 20.0 520 110
1 20.0 0 -130
5 20.0 100 -10
6 20.0 160 -10
7 20.0 220 -10
8 20.0 280 -10
9 20.0 340 -10
10 20.0 400 -10
11 20.0 460 -10
12 20.0 520 -10
13 20.0 100 110
14 20.0 160 110
15 20.0 220 110
16 20.0 280 110
17 20.0 340 110
18 20.0 400 110
19 20.0 460 110
20 20.0 520 110
2 20.0 0 -310
5 20.0 100 -10
6 20.0 160 -10
7 20.0 220 -10
8 20.0 280 -10
9 20.0 340 -10
10 20.0 400 -10
11 20.0 460 -10
12 20.0 520 -10
13 20.0 100 110
14 20.0 160 110
15 20.0 220 110
16 20.0 280 110
17 20.0 340 110
18 20.0 400 110
19 20.0 460 110
20 20.0 520 110
3 20.0 0 -490
5 20.0 100 -10
6 20.0 160 -10
7 20.0 220 -10
8 20.0 280 -10
9 20.0 340 -10
10 20.0 400 -10
11 20.0 460 -10
12 20.0 520 -10
13 20.0 100 110
14 20.0 160 110
15 20.0 220 110
16 20.0 280 110
17 20.0 340 110
18 20.0 400 110
19 20.0 460 110
20 20.0 520 110
4 20.0 0 -670
5 20.0 100 -10
6 20.0 160 -10
7 20.0 220 -10
8 20.0 280 -10
9 20.0 340 -10
10 20.0 400 -10
11 20.0 460 -10
12 20.0 520 -10
13 20.0 100 110
14 20.0 160 110
15 20.0 220 110
16 20.0 280 110
17 20.0 340 110
18 20.0 400 110
19 20.0 460 110
20 20.0 520 110
0 24.0 60 50
1 24.0 0 -120
5 24.0 100 -10
6 24.0 160 -10
7 24.0 220 -10
8 24.0 280 -10
9 24.0 340 -10
10 24.0 400 -10
11 24.0 460 -10
12 24.0 520 -10
13 24.0 100 110
14 24.0 160 110
15 24.0 220 110
16 24.0 280 110
17 24.0 340 110
18 24.0 400 110
19 24.0 460 110
20 24.0 520 110
2 24.0 0 -300
5 24.0 100 -10
6 24.0 160 -10
7 24.0 220 -10
8 24.0 280 -10
9 24.0 340 -10
10 24.0 400 -10
11 24.0 460 -10
12 24.0 520 -10
13 24.0 100 110
14 24.0 160 110
15 24.0 220 110
16 24.0 280 110
17 24.0 340 110
18 24.0 400 110
19 24.0 460 110
20 24.0 520 110
3 24.0 0 -480
5 24.0 100 -10
6 24.0 160 -10
7 24.0 220 -10
8 24.0 280 -10
9 24.0 340 -10
10 24.0 400 -10
11 24.0 460 -10
